FIO;Passport;Registration;Ticketnumber;SeatNumber;BaggageWeight;CodeFlight
"Chumackov Michail Vladimirovich";"7492748492";"true";"34796";"B12";"8.7";"8000"
"Zemlyanov Vladimir Borisovich";"5678359284";"true";"63273";"D10";"8.6";"5000"
"Zamotohina Maria Andreevna";"837968585";"true";"56637";"F5";"4.4";"4000"
"Zhuckov Semyon Viktorovich";"3678678903";"true";"98503";"C15";"4.7";"2000"
"Nenashev Ivan Nickolayevich";"1234567890";"true";"27787";"D4";"9.6";"5000"
"Zamotohina Maria Andreevna";"837968585";"true";"11019";"C9";"8.0";"9000"
"Chumackov Michail Vladimirovich";"7492748492";"true";"41281";"C18";"2.5";"7000"
"Chumackov Michail Vladimirovich";"7492748492";"true";"74377";"C17";"1.4";"5000"
"Zemlyanov Vladimir Borisovich";"5678359284";"true";"32244";"C16";"0.9";"6000"
"Zhuckov Semyon Viktorovich";"3678678903";"true";"21614";"B10";"2.4";"5000"
"Nenashev Ivan Nickolayevich";"1234567890";"true";"58151";"F11";"9.6";"7000"
"Zamotohina Maria Andreevna";"837968585";"true";"56206";"E2";"7.8";"7000"
"Zamotohina Maria Andreevna";"837968585";"true";"16979";"D4";"0.2";"1000"
"Zamotohina Maria Andreevna";"837968585";"true";"23045";"E6";"4.3";"8000"
"Chumackov Michail Vladimirovich";"7492748492";"true";"50302";"B17";"3.7";"2000"
"Chumackov Michail Vladimirovich";"7492748492";"true";"67667";"D3";"8.7";"6000"
"Zamotohina Maria Andreevna";"837968585";"true";"32885";"A16";"6.5";"3000"
"Zhuckov Semyon Viktorovich";"3678678903";"true";"80763";"F6";"4.7";"8000"
"Chumackov Michail Vladimirovich";"7492748492";"true";"20754";"E8";"7.4";"4000"
"Chumackov Michail Vladimirovich";"7492748492";"true";"33828";"C6";"6.0";"9000"
