FIO;Passport;Registration;Ticketnumber;SeatNumber;BaggageWeight;CodeFlight
"""Zhuckov Semyon Viktorovich""";"""2875909090""";"""1""";"""79198""";"""E19""";"""2.4""";"""4000"""
"""Zemlyanov Vladimir Borisovich""";"""837968585""";"""1""";"""93196""";"""A2""";"""4.7""";"""6000"""
"""Chumackov Michail Vladimirovich""";"""3678678903""";"""1""";"""67448""";"""A18""";"""1.5""";"""7000"""
"""Zamotohina Maria Andreevna""";"""1234567890""";"""1""";"""32066""";"""B8""";"""4.7""";"""6000"""
"""Belyackova Veronicka Sergeevna""";"""5678359284""";"""1""";"""75161""";"""E15""";"""7.1""";"""2000"""
"""Chumackov Michail Vladimirovich""";"""3678678903""";"""1""";"""40385""";"""C16""";"""2.6""";"""8000"""
"""Zamotohina Maria Andreevna""";"""1234567890""";"""1""";"""88102""";"""F18""";"""6.8""";"""3000"""
"""Chumackov Michail Vladimirovich""";"""3678678903""";"""1""";"""62036""";"""A2""";"""4.7""";"""1000"""
"""Zamotohina Maria Andreevna""";"""1234567890""";"""1""";"""11954""";"""A1""";"""8.5""";"""9000"""
"""Zemlyanov Vladimir Borisovich""";"""837968585""";"""1""";"""36503""";"""C7""";"""5.0""";"""2000"""
"""Nenashev Ivan Nickolayevich""";"""7492748492""";"""1""";"""85265""";"""E18""";"""1.0""";"""8000"""
"""Zhuckov Semyon Viktorovich""";"""2875909090""";"""1""";"""28428""";"""A20""";"""6.2""";"""3000"""
"""Zhuckov Semyon Viktorovich""";"""2875909090""";"""1""";"""17959""";"""D6""";"""5.9""";"""6000"""
"""Zemlyanov Vladimir Borisovich""";"""837968585""";"""1""";"""65380""";"""E20""";"""1.4""";"""4000"""
"""Nenashev Ivan Nickolayevich""";"""7492748492""";"""1""";"""24352""";"""A15""";"""1.6""";"""4000"""
"""Zhuckov Semyon Viktorovich""";"""2875909090""";"""1""";"""11381""";"""D1""";"""5.9""";"""7000"""
"""Zamotohina Maria Andreevna""";"""1234567890""";"""1""";"""89966""";"""D13""";"""4.2""";"""7000"""
"""Zemlyanov Vladimir Borisovich""";"""837968585""";"""1""";"""94710""";"""E3""";"""2.1""";"""3000"""
"""Nenashev Ivan Nickolayevich""";"""7492748492""";"""1""";"""96419""";"""E4""";"""2.0""";"""1000"""
"""Zhuckov Semyon Viktorovich""";"""2875909090""";"""1""";"""48758""";"""A14""";"""2.3""";"""5000"""
